City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Belaya Gora,RU,2022-03-10 15:33:44,68.5333,146.4167,-16.24,100,100,2.62,overcast clouds
1,Tautira,PF,2022-03-10 15:33:45,-17.7333,-149.15,80.74,72,91,12.12,overcast clouds
2,Avera,US,2022-03-10 15:33:45,33.194,-82.5271,56.71,95,100,3.91,light rain
3,Punta Arenas,CL,2022-03-10 15:33:46,-53.15,-70.9167,50.11,53,0,8.05,clear sky
4,Liku,ID,2022-03-10 15:33:46,-0.7275,119.8922,77.45,91,77,3.18,broken clouds
5,Rikitea,PF,2022-03-10 15:33:47,-23.1203,-134.9692,78.42,69,79,6.87,broken clouds
6,High Level,CA,2022-03-10 15:33:47,58.5169,-117.136,-11.09,77,0,3.44,clear sky
7,Quelimane,MZ,2022-03-10 15:33:48,-17.8786,36.8883,85.95,70,40,17.27,scattered clouds
8,Castro,BR,2022-03-10 15:33:48,-24.7911,-50.0119,75.69,80,53,5.91,broken clouds
9,Albany,US,2022-03-10 15:32:07,42.6001,-73.9662,36.95,88,21,2.8,few clouds
10,Alma,CA,2022-03-10 15:33:25,48.5501,-71.6491,33.42,78,96,11.77,overcast clouds
11,Clyde River,CA,2022-03-10 15:33:49,70.4692,-68.5914,-21.77,76,0,0.0,clear sky
12,Busselton,AU,2022-03-10 15:33:49,-33.65,115.3333,71.49,52,48,9.89,scattered clouds
13,Farah,AF,2022-03-10 15:33:50,32.5,62.5,72.54,31,78,6.38,broken clouds
14,Port Alfred,ZA,2022-03-10 15:33:50,-33.5906,26.891,76.17,78,23,12.33,few clouds
15,Yeppoon,AU,2022-03-10 15:33:51,-23.1333,150.7333,71.38,91,100,8.05,moderate rain
16,Kaitangata,NZ,2022-03-10 15:33:51,-46.2817,169.8464,54.05,97,69,3.62,broken clouds
17,Sesheke,ZM,2022-03-10 15:33:52,-17.4759,24.2968,73.09,83,98,8.66,moderate rain
18,Kushima,JP,2022-03-10 15:33:52,31.4583,131.2333,52.05,75,100,3.67,overcast clouds
19,Kodiak,US,2022-03-10 15:33:53,57.79,-152.4072,40.51,93,100,19.57,moderate rain
20,Ilulissat,GL,2022-03-10 15:33:53,69.2167,-51.1,-9.36,86,27,2.55,scattered clouds
21,Torbay,CA,2022-03-10 15:33:54,47.6666,-52.7314,32.88,74,100,5.01,heavy snow
22,Haines Junction,CA,2022-03-10 15:33:54,60.7522,-137.5108,12.15,79,100,1.14,overcast clouds
23,West Bay,KY,2022-03-10 15:29:54,19.3667,-81.4167,84.27,73,40,6.91,scattered clouds
24,San Vicente,AR,2022-03-10 15:33:55,-26.6167,-54.1333,90.99,39,22,6.42,few clouds
25,Sao Joao Da Barra,BR,2022-03-10 15:33:56,-21.6403,-41.0511,87.89,72,5,11.41,clear sky
26,Avarua,CK,2022-03-10 15:33:56,-21.2078,-159.775,80.65,83,75,8.05,broken clouds
27,Nieuwpoort,BE,2022-03-10 15:33:57,51.1244,2.7735,63.23,48,20,14.97,few clouds
28,Sitka,US,2022-03-10 15:33:57,57.0531,-135.33,39.09,75,100,6.91,light rain
29,Qaanaaq,GL,2022-03-10 15:33:58,77.484,-69.3632,-3.75,56,98,3.56,overcast clouds
30,Mar Del Plata,AR,2022-03-10 15:33:41,-38.0023,-57.5575,71.62,63,0,11.5,clear sky
31,Kapaa,US,2022-03-10 15:33:59,22.0752,-159.319,69.78,100,100,3.44,light rain
32,Atikokan,CA,2022-03-10 15:33:09,48.7555,-91.6216,3.45,85,100,10.02,overcast clouds
33,Narsaq,GL,2022-03-10 15:33:59,60.9167,-46.05,12.42,54,0,2.1,clear sky
34,Kedrovka,RU,2022-03-10 15:34:00,55.5333,86.05,9.48,90,100,9.37,overcast clouds
35,Butaritari,KI,2022-03-10 15:34:00,3.0707,172.7902,80.62,80,99,13.71,light rain
36,Bengkulu,ID,2022-03-10 15:34:01,-3.8004,102.2655,76.87,89,100,6.64,overcast clouds
37,Jamestown,US,2022-03-10 15:34:01,42.097,-79.2353,40.01,60,0,3.44,clear sky
38,Sapernoye,RU,2022-03-10 15:34:02,60.7167,29.9505,28.65,80,10,11.05,clear sky
39,Tshikapa,CD,2022-03-10 15:34:02,-6.4167,20.8,76.57,83,99,2.62,overcast clouds
40,Bluff,NZ,2022-03-10 15:34:03,-46.6,168.3333,59.81,90,71,8.03,broken clouds
41,Trincomalee,LK,2022-03-10 15:34:03,8.5711,81.2335,80.28,76,40,11.25,scattered clouds
42,Yar-Sale,RU,2022-03-10 15:37:52,66.8333,70.8333,-4.49,94,100,7.4,overcast clouds
43,Issia,CI,2022-03-10 15:37:52,6.4922,-6.5856,101.62,21,73,2.28,broken clouds
44,De Panne,BE,2022-03-10 15:37:53,51.0792,2.5917,63.23,52,20,13.8,few clouds
45,Palmer,US,2022-03-10 15:37:53,42.1584,-72.3287,45.64,70,60,1.01,broken clouds
46,Ostrovnoy,RU,2022-03-10 15:37:54,68.0531,39.5131,23.9,86,93,22.15,overcast clouds
47,Kuching,MY,2022-03-10 15:37:54,1.55,110.3333,79.02,89,20,0.0,few clouds
48,Alofi,NU,2022-03-10 15:37:55,-19.0595,-169.9187,76.89,94,100,5.75,overcast clouds
49,Thompson,CA,2022-03-10 15:37:55,55.7435,-97.8558,-7.44,77,75,0.0,broken clouds
50,Upernavik,GL,2022-03-10 15:37:56,72.7868,-56.1549,-3.21,89,99,7.02,overcast clouds
51,Ushuaia,AR,2022-03-10 15:32:59,-54.8,-68.3,47.86,57,40,11.5,scattered clouds
52,Mehamn,NO,2022-03-10 15:37:56,71.0357,27.8492,38.55,81,100,24.52,light rain
53,Lasa,IT,2022-03-10 15:37:57,46.6166,10.7002,50.88,66,0,2.64,clear sky
54,Bredasdorp,ZA,2022-03-10 15:37:32,-34.5322,20.0403,74.52,53,7,13.8,clear sky
55,Khatanga,RU,2022-03-10 15:37:58,71.9667,102.5,-11.36,98,99,3.76,overcast clouds
56,Roanoke,US,2022-03-10 15:37:58,37.271,-79.9414,46.94,80,100,8.05,overcast clouds
57,Chapais,CA,2022-03-10 15:37:58,49.7834,-74.8492,10.18,82,100,10.6,overcast clouds
58,Copiapo,CL,2022-03-10 15:37:59,-27.3667,-70.3333,65.89,33,0,8.1,clear sky
59,Tucupita,VE,2022-03-10 15:37:59,9.0622,-62.051,83.34,64,92,6.08,overcast clouds
60,Klaksvik,FO,2022-03-10 15:38:00,62.2266,-6.589,43.72,87,100,25.14,overcast clouds
61,Korla,CN,2022-03-10 15:38:00,41.7597,86.1469,51.98,31,75,2.95,broken clouds
62,Turochak,RU,2022-03-10 15:38:01,52.2576,87.1224,19.74,97,100,3.11,overcast clouds
63,Ust-Kulom,RU,2022-03-10 15:38:01,61.6864,53.6902,-3.21,99,38,1.88,scattered clouds
64,Bitung,ID,2022-03-10 15:37:19,1.4451,125.1824,77.85,83,72,3.53,broken clouds
65,Mercedes,AR,2022-03-10 15:38:02,-34.6515,-59.4307,76.64,54,70,8.99,broken clouds
66,Rondonopolis,BR,2022-03-10 15:36:36,-16.4708,-54.6356,86.25,66,63,3.04,broken clouds
67,Kahului,US,2022-03-10 15:38:03,20.8947,-156.47,73.85,77,0,5.75,clear sky
68,Da Lat,VN,2022-03-10 15:38:03,11.9465,108.4419,58.77,66,99,2.44,overcast clouds
69,New Norfolk,AU,2022-03-10 15:38:04,-42.7826,147.0587,54.9,91,1,2.73,clear sky
70,La Ronge,CA,2022-03-10 15:38:04,55.1001,-105.2842,-3.75,65,40,21.85,scattered clouds
71,Hobart,AU,2022-03-10 15:33:59,-42.8794,147.3294,55.26,67,100,6.91,overcast clouds
72,Otradnoye,RU,2022-03-10 15:38:05,59.7775,30.8181,28.96,88,22,5.88,few clouds
73,Longyearbyen,SJ,2022-03-10 15:38:06,78.2186,15.6401,28.24,93,100,10.36,light snow
74,Geraldton,AU,2022-03-10 15:38:06,-28.7667,114.6,75.61,57,2,4.61,clear sky
75,Saint-Philippe,RE,2022-03-10 15:38:07,-21.3585,55.7679,81.99,84,39,9.08,scattered clouds
76,Iquique,CL,2022-03-10 15:38:08,-20.2208,-70.1431,75.24,72,19,8.08,few clouds
77,Porto Seguro,BR,2022-03-10 15:38:08,-16.4497,-39.0647,84.72,74,40,6.91,moderate rain
78,Port Blair,IN,2022-03-10 15:38:09,11.6667,92.75,82.44,78,20,4.61,thunderstorm
79,Dikson,RU,2022-03-10 15:38:09,73.5069,80.5464,-17.86,99,82,10.85,broken clouds
80,Coquimbo,CL,2022-03-10 15:37:20,-29.9533,-71.3436,64.13,77,20,11.5,few clouds
81,Savannah Bight,HN,2022-03-10 15:38:10,16.45,-85.85,79.81,76,0,21.47,clear sky
82,Alamosa,US,2022-03-10 15:34:36,37.4695,-105.87,21.18,79,100,12.66,overcast clouds
83,Skibbereen,IE,2022-03-10 15:38:11,51.55,-9.2667,50.11,82,100,28.19,overcast clouds
84,Vinh,VN,2022-03-10 15:37:01,18.6667,105.6667,68.9,92,73,2.89,broken clouds
85,Nishihara,JP,2022-03-10 15:38:12,26.1842,127.7558,68.05,58,75,8.05,broken clouds
86,Agirish,RU,2022-03-10 15:39:13,61.9247,63.0231,-9.49,99,93,3.04,overcast clouds
87,Tombouctou,ML,2022-03-10 15:39:13,20.0,-3.0,90.68,6,1,6.85,clear sky
88,Cherskiy,RU,2022-03-10 15:39:14,68.75,161.3,11.17,72,93,10.13,overcast clouds
89,Esperance,AU,2022-03-10 15:39:14,-33.8667,121.9,66.04,72,100,14.41,overcast clouds
90,Sawtell,AU,2022-03-10 15:39:16,-30.3833,153.1,68.18,77,100,12.66,overcast clouds
91,Salalah,OM,2022-03-10 15:36:34,17.0151,54.0924,80.69,47,0,3.44,clear sky
92,Mareeba,AU,2022-03-10 15:39:17,-17.0,145.4333,77.72,91,88,0.89,overcast clouds
93,Alice Springs,AU,2022-03-10 15:39:18,-23.7,133.8833,70.21,30,9,6.91,clear sky
94,Adrar,MR,2022-03-10 15:39:18,20.5022,-10.0711,86.97,6,0,15.05,clear sky
95,Yerbogachen,RU,2022-03-10 15:39:19,61.2767,108.0108,-15.27,100,99,4.47,overcast clouds
96,Tuktoyaktuk,CA,2022-03-10 15:39:19,69.4541,-133.0374,-27.4,75,75,4.61,broken clouds
97,Chuy,UY,2022-03-10 15:39:20,-33.6971,-53.4616,76.28,61,95,14.14,overcast clouds
98,Havelock,US,2022-03-10 15:39:21,34.8791,-76.9013,49.98,89,100,4.0,overcast clouds
99,Yellowknife,CA,2022-03-10 15:37:55,62.456,-114.3525,-19.71,68,0,9.22,clear sky
100,Hermanus,ZA,2022-03-10 15:39:21,-34.4187,19.2345,78.8,60,0,18.59,clear sky
101,Husavik,IS,2022-03-10 15:39:22,66.0449,-17.3389,37.11,88,100,7.96,overcast clouds
102,Eureka,US,2022-03-10 15:37:53,40.8021,-124.1637,44.92,92,1,3.78,clear sky
103,Airai,TL,2022-03-10 15:39:23,-8.9266,125.4092,61.2,95,100,1.45,overcast clouds
104,Kyren,RU,2022-03-10 15:39:23,51.6828,102.1408,14.34,92,57,1.03,broken clouds
105,Vaini,TO,2022-03-10 15:39:24,-21.2,-175.2,77.16,88,20,4.61,few clouds
106,Cayenne,GF,2022-03-10 15:39:24,4.9333,-52.3333,84.24,58,40,14.97,scattered clouds
107,Sydney,AU,2022-03-10 15:27:43,-33.8679,151.2073,63.84,80,40,9.22,light intensity shower rain
108,Ribeira Grande,PT,2022-03-10 15:39:25,38.5167,-28.7,61.2,63,20,24.16,few clouds
109,Cape Town,ZA,2022-03-10 15:37:54,-33.9258,18.4232,75.61,45,0,18.41,clear sky
110,Bereda,ES,2022-03-10 15:39:26,43.2686,-7.5406,55.15,89,78,9.86,broken clouds
111,Loandjili,CG,2022-03-10 15:39:27,-4.7561,11.8578,84.31,79,40,9.22,scattered clouds
112,Rawson,AR,2022-03-10 15:39:27,-43.3002,-65.1023,65.97,44,31,12.24,scattered clouds
113,Aqtobe,KZ,2022-03-10 15:39:27,50.2797,57.2072,15.89,79,100,22.37,overcast clouds
114,Tiksi,RU,2022-03-10 15:39:28,71.6872,128.8694,-22.32,100,99,2.13,overcast clouds
115,Agadir,MA,2022-03-10 15:38:03,30.4202,-9.5982,72.05,51,0,11.27,clear sky
116,Mataura,NZ,2022-03-10 15:39:29,-46.1927,168.8643,59.49,94,58,3.47,broken clouds
117,Hilo,US,2022-03-10 15:36:49,19.7297,-155.09,71.62,86,0,8.05,clear sky
118,Los Llanos De Aridane,ES,2022-03-10 15:39:29,28.6585,-17.9182,64.15,75,20,5.75,few clouds
119,Necochea,AR,2022-03-10 15:34:39,-38.5473,-58.7368,70.59,32,0,13.62,clear sky
120,Tiarei,PF,2022-03-10 15:39:30,-17.5333,-149.3333,73.42,75,77,11.95,broken clouds
121,Vestmannaeyjar,IS,2022-03-10 15:39:30,63.4427,-20.2734,45.59,100,100,14.97,mist
122,Soke,ML,2022-03-10 15:39:32,13.598,-5.9386,100.31,8,46,8.66,scattered clouds
123,Saskylakh,RU,2022-03-10 15:39:32,71.9167,114.0833,-33.63,100,62,2.91,broken clouds
124,Atuona,PF,2022-03-10 15:39:33,-9.8,-139.0333,77.92,73,26,18.05,scattered clouds
125,Lebu,CL,2022-03-10 15:39:34,-37.6167,-73.65,60.96,68,1,22.01,clear sky
126,Vila Franca Do Campo,PT,2022-03-10 15:39:34,37.7167,-25.4333,63.19,61,98,20.0,overcast clouds
127,Pevek,RU,2022-03-10 15:39:34,69.7008,170.3133,12.56,62,5,14.2,clear sky
128,Kruisfontein,ZA,2022-03-10 15:39:35,-34.0033,24.7314,74.88,68,60,10.16,broken clouds
129,Port Elizabeth,ZA,2022-03-10 15:39:35,-33.918,25.5701,77.29,69,20,8.05,few clouds
130,Pryazha,RU,2022-03-10 15:40:36,61.6926,33.6216,27.63,88,52,11.01,broken clouds
131,Kuytun,RU,2022-03-10 15:40:36,54.3419,101.5036,-2.11,98,99,3.04,overcast clouds
132,Nanortalik,GL,2022-03-10 15:40:37,60.1432,-45.2371,14.31,63,1,13.71,clear sky
133,Arnprior,CA,2022-03-10 15:37:40,45.4334,-76.3494,34.57,64,95,7.45,overcast clouds
134,Gizo,SB,2022-03-10 15:40:38,-8.103,156.8419,81.95,76,88,5.08,overcast clouds
135,Ellsworth,US,2022-03-10 15:40:38,44.5434,-68.4195,44.26,58,0,8.05,clear sky
136,Ngunguru,NZ,2022-03-10 15:40:39,-35.6167,174.5,66.13,74,13,10.85,few clouds
137,Nouadhibou,MR,2022-03-10 15:40:39,20.931,-17.0347,80.58,44,0,13.8,clear sky
138,Hithadhoo,MV,2022-03-10 15:40:40,-0.6,73.0833,82.78,61,10,4.76,clear sky
139,Gondanglegi,ID,2022-03-10 15:40:40,-7.7479,112.0132,75.27,93,100,2.77,moderate rain
140,Yulara,AU,2022-03-10 15:40:41,-25.2406,130.9889,71.44,24,3,5.75,clear sky
141,Mehran,IR,2022-03-10 15:40:41,33.1222,46.1646,74.46,38,100,3.47,overcast clouds
142,Ballina,AU,2022-03-10 15:40:42,-28.8667,153.5667,69.01,98,99,9.15,overcast clouds
143,Moose Jaw,CA,2022-03-10 15:40:42,50.4001,-105.5344,7.07,78,75,26.46,broken clouds
144,Nyuksenitsa,RU,2022-03-10 15:40:42,60.4128,44.2397,15.08,98,98,3.06,overcast clouds
145,Pokhara,NP,2022-03-10 15:40:43,28.2333,83.9833,65.08,31,44,6.4,scattered clouds
146,Shimoda,JP,2022-03-10 15:40:43,34.6667,138.95,52.38,61,47,4.83,scattered clouds
147,Hobyo,SO,2022-03-10 15:40:44,5.3505,48.5268,79.54,63,69,15.39,broken clouds
148,Cidreira,BR,2022-03-10 15:40:44,-30.1811,-50.2056,82.47,70,99,10.98,overcast clouds
149,Jinchang,CN,2022-03-10 15:40:45,38.4953,102.1739,48.97,39,86,4.63,overcast clouds
150,Laem Sing,TH,2022-03-10 15:40:45,12.4816,102.0738,84.15,83,27,5.35,scattered clouds
151,Vuktyl,RU,2022-03-10 15:40:46,63.8567,57.3094,-5.71,100,17,4.03,few clouds
152,Goderich,CA,2022-03-10 15:40:46,43.7501,-81.7165,30.9,64,100,6.91,overcast clouds
153,Saint-Francois,FR,2022-03-10 15:40:46,46.4154,3.9054,60.67,42,0,6.91,clear sky
154,Awjilah,LY,2022-03-10 15:40:47,29.1081,21.2869,59.83,34,4,20.76,clear sky
155,Petropavlovsk-Kamchatskiy,RU,2022-03-10 15:40:48,53.0452,158.6483,32.59,60,75,13.42,broken clouds
156,Muroto,JP,2022-03-10 15:40:48,33.2833,134.15,56.43,60,100,7.25,overcast clouds
157,Zemio,CF,2022-03-10 15:40:49,5.0314,25.1361,87.93,37,100,2.68,overcast clouds
158,Prince Rupert,CA,2022-03-10 15:40:49,54.3161,-130.3201,40.69,60,100,19.57,light rain
159,Caravelas,BR,2022-03-10 15:40:50,-17.7125,-39.2481,83.23,64,99,7.38,moderate rain
160,Isoka,ZM,2022-03-10 15:40:50,-10.1606,32.6335,66.76,92,100,0.2,moderate rain
161,Manono,CD,2022-03-10 15:40:51,-7.3,27.4167,77.86,87,99,2.66,overcast clouds
162,Bilma,NE,2022-03-10 15:40:51,18.6853,12.9164,86.49,11,2,15.3,clear sky
163,Wattegama,LK,2022-03-10 15:40:52,6.7989,81.4808,74.05,85,38,3.47,scattered clouds
164,Luderitz,NA,2022-03-10 15:40:52,-26.6481,15.1594,79.05,58,10,11.5,clear sky
165,Bambous Virieux,MU,2022-03-10 15:40:53,-20.3428,57.7575,80.85,83,40,6.91,scattered clouds
166,Dodoma,TZ,2022-03-10 15:40:53,-6.1722,35.7395,82.31,54,40,0.0,scattered clouds
167,Katsuura,JP,2022-03-10 15:40:54,35.1333,140.3,52.79,62,96,6.46,overcast clouds
168,Provideniya,RU,2022-03-10 15:40:54,64.3833,-173.3,10.83,55,0,15.46,clear sky
169,Tilichiki,RU,2022-03-10 15:40:55,60.4667,166.1,3.38,89,32,10.16,scattered clouds
170,San Policarpo,PH,2022-03-10 15:40:55,12.1791,125.5072,79.7,85,83,13.42,broken clouds
171,Tecoanapa,MX,2022-03-10 15:40:56,16.5167,-98.75,81.12,54,2,4.41,clear sky
172,Tasiilaq,GL,2022-03-10 15:40:56,65.6145,-37.6368,22.33,84,100,18.61,light snow
173,Ponta Do Sol,PT,2022-03-10 15:40:57,32.6667,-17.1,69.12,71,25,7.56,scattered clouds
174,Namibe,AO,2022-03-10 15:40:57,-15.1961,12.1522,75.65,74,22,10.87,few clouds
175,Shingu,JP,2022-03-10 15:40:58,33.7333,135.9833,44.4,60,69,5.86,broken clouds
176,Bairiki,KI,2022-03-10 15:41:58,1.3292,172.9752,78.8,89,40,10.36,light rain
177,Umm Lajj,SA,2022-03-10 15:41:59,25.0213,37.2685,72.84,55,100,15.48,overcast clouds
178,Kabompo,ZM,2022-03-10 15:41:59,-13.5927,24.2008,71.47,84,99,2.62,overcast clouds
179,Cacoal,BR,2022-03-10 15:41:59,-11.4386,-61.4472,79.2,86,100,4.92,overcast clouds
180,Hazorasp,UZ,2022-03-10 15:42:00,41.3194,61.0742,55.24,43,100,9.75,overcast clouds
181,Guerrero Negro,MX,2022-03-10 15:42:00,27.9769,-114.0611,60.87,58,0,6.26,clear sky
182,Lavrentiya,RU,2022-03-10 15:42:01,65.5833,-171.0,1.36,69,0,13.69,clear sky
183,Teguise,ES,2022-03-10 15:42:01,29.0605,-13.564,61.02,72,20,17.27,few clouds
184,Severo-Kurilsk,RU,2022-03-10 15:42:02,50.6789,156.125,29.08,94,100,18.32,light snow
185,Kenora,CA,2022-03-10 15:39:45,49.8167,-94.4337,-6.63,77,0,9.22,clear sky
186,Asau,RO,2022-03-10 15:42:03,46.4333,26.4,25.72,84,100,9.15,light snow
187,Saint-Pierre,RE,2022-03-10 15:42:04,-21.3393,55.4781,82.08,77,0,20.71,clear sky
188,Quatre Cocos,MU,2022-03-10 15:42:04,-20.2078,57.7625,80.71,81,1,9.93,clear sky
189,Longonjo,AO,2022-03-10 15:42:05,-12.9067,15.2533,70.9,82,100,2.73,light rain
190,Bongandanga,CD,2022-03-10 15:42:06,1.5,21.05,88.99,49,83,1.12,broken clouds
191,Sur,OM,2022-03-10 15:42:06,22.5667,59.5289,80.78,50,0,6.2,clear sky
192,Ribeira Brava,PT,2022-03-10 15:42:07,32.65,-17.0667,69.12,73,23,8.16,few clouds
193,Ozernovskiy,RU,2022-03-10 15:42:07,51.5,156.5167,29.5,99,100,9.1,light snow
194,Hamilton,US,2022-03-10 15:38:11,39.1834,-84.5333,48.74,60,75,4.61,broken clouds
195,Georgetown,MY,2022-03-10 15:37:09,5.4112,100.3354,82.35,83,20,3.44,few clouds
196,Kloulklubed,PW,2022-03-10 15:42:09,7.0419,134.2556,75.7,80,100,14.85,overcast clouds
197,Cabo San Lucas,MX,2022-03-10 15:37:25,22.8909,-109.9124,68.5,68,0,0.0,clear sky
198,Moundsville,US,2022-03-10 15:42:10,39.9203,-80.7431,44.87,60,68,3.69,broken clouds
199,Ahipara,NZ,2022-03-10 15:42:10,-35.1667,173.1667,62.42,89,11,6.08,few clouds
200,Taltal,CL,2022-03-10 15:42:11,-25.4,-70.4833,69.42,75,45,4.65,scattered clouds
201,Barcelona,ES,2022-03-10 15:39:22,41.3888,2.159,61.84,75,40,12.66,scattered clouds
202,San Quintin,MX,2022-03-10 15:42:12,30.4833,-115.95,57.42,77,18,4.72,few clouds
203,Weilheim,DE,2022-03-10 15:42:12,47.8333,11.15,52.95,60,0,8.7,clear sky
204,Binga,ZW,2022-03-10 15:42:13,-17.6203,27.3414,79.21,68,13,4.21,few clouds
205,Camana,PE,2022-03-10 15:42:13,-16.6228,-72.7111,76.5,72,73,10.16,broken clouds
206,Foix,FR,2022-03-10 15:42:14,42.8333,1.5833,52.09,76,90,0.38,overcast clouds
207,Fuerte,PH,2022-03-10 15:42:14,17.5381,120.3644,77.83,67,71,4.94,broken clouds
208,Iqaluit,CA,2022-03-10 15:42:15,63.7506,-68.5145,-7.31,76,75,0.0,broken clouds
209,Fairbanks,US,2022-03-10 15:40:32,64.8378,-147.7164,21.2,79,100,10.36,light snow
210,Puyang,CN,2022-03-10 15:42:16,29.4603,119.8861,58.98,79,81,2.01,broken clouds
211,Barrow,US,2022-03-10 15:40:01,71.2906,-156.7887,-14.78,84,0,8.05,clear sky
212,Saint George,US,2022-03-10 15:42:14,37.1041,-113.5841,43.63,46,75,20.71,broken clouds
213,Karabulak,RU,2022-03-10 15:42:18,43.3036,44.8964,32.99,89,94,6.31,overcast clouds
214,Cukai,MY,2022-03-10 15:42:18,4.25,103.4167,78.75,88,100,5.66,overcast clouds
215,College,US,2022-03-10 15:42:19,64.8569,-147.8028,21.18,80,100,10.36,light snow
216,Puerto Ayora,EC,2022-03-10 15:42:20,-0.7393,-90.3518,84.16,86,52,4.0,broken clouds
